,,,,HC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tasks,Run #,,BT ,CG,EP,LU,SP,Sparse,SMG2000,Sweep3d,Lammps,UMT2k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,App,Cost,,Time
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HC,64,,HC,118.870907,84.093708,10.983857,39.911519,114.689729,79.52487,40.844354,30.388449,91.956086,177.034818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CG,0,,
,,,HC,122.986493,78.631737,10.992295,37.168675,114.886675,95.670026,45.086708,31.924368,90.627267,176.132914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LU,0,,
,,,HC,153.427998,84.00463,23.116941,103.895581,189.338103,99.932444,51.28296,42.327832,155.175179,294.219665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sparse,0,,
,,,HC,153.100349,77.804464,21.780081,104.175869,196.152477,97.472438,53.335544,42.947255,156.753654,293.647048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sweep3D,0,,
,,,HC,222.041079,81.921693,43.935203,216.210188,386.606413,73.062819,85.972009,72.743419,262.33796,500.418422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UMT2k,0,,
,,,HC,219.028923,81.236733,43.458516,217.141334,388.621504,79.763686,86.584626,70.931729,261.54011,501.087577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tasks,Run #,,BT ,CG,EP,LU,SP,Sparse,SMG2000,Sweep3d,Lammps,UMT2k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,64,1,HC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,HC,34.99559502,24.75718764,3.233647501,11.74995119,33.76465622,23.41212173,12.02457782,8.946359386,27.07187172,52.11905042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,HC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,HC,36.20722354,23.14918337,3.236131648,10.94245792,33.82263712,28.16525565,13.27352684,9.398533939,26.6806674,51.85352988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,32,1,HC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,HC,22.58460131,12.36548154,3.402813715,15.29342952,27.87056876,14.71005576,7.548851712,6.23065687,22.84178635,43.30913469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,HC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,HC,22.53637137,11.4528171,3.206027923,15.33468792,28.87364461,14.34794287,7.850992077,6.321835936,23.07413787,43.22484547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
